Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Brophy's Theory,Bt,10,4,0,6,3655,3599,56,49,,Matches,40
beyond the universe,beyond,10,5,0,5,3732,3507,225,56,,Completed,40
Contingency Orange,Cy3,10,2,0,8,2824,3727,-903,18,,,
Hell's Kitchen,HK,10,7,0,3,3739,3554,185,59,,Sum of Wins,40
Luminescence,Le,10,6,0,4,3497,3200,297,59,,Sum of Losses,40
Auspicion,Au,10,7,0,3,3698,3402,296,62,,,
The Twelve,XII,10,7,0,3,3755,3394,361,71,,,
Euler's Identity,e^ip,10,2,0,8,3335,3852,-517,26,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,Au,8,beyond,2,36,,,,,,,
Au v. Ceres (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
MatthewAUS,22,51,41,114,1,,,,,,,
FrankDaSpeed,34,28,37,99,2,,,,,,,
GabrielUS,28,39,26,93,4,,,,,,,
Torment,31,19,24,74,8,,,,,,,
jayde,0,1,3,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Auspicion,115,138,131,0,384,348,36,W,8,2,R,
(1-0),0,2,2,4,8,,,,,,,
(0-1),2,0,0,0,2,,,,,,,
beyond the universe,129,106,113,0,348,384,-36,L,2,8,R,
KONGSTRONG,29,23,42,94,3,,,,,,,
Nyro,26,30,27,83,5,,,,,,,
Swag,34,25,23,82,6,,,,,,,
Chrismo,36,25,20,81,7,,,,,,,
Marik,4,3,1,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,beyond,10,e^ip,0,119,,,,,,,
Ceres v. e^ip (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Espeon,30,45,43,118,1,,,,,,,
KONGSTRONG,41,33,36,110,2,,,,,,,
Nyro,34,50,25,109,3,,,,,,,
LucaMK,34,34,16,84,4,,,,,,,
Marik,1,1,3,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
beyond the universe,140,163,123,0,426,307,119,W,10,0,R,
(1-1),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Euler's Identity,104,81,122,0,307,426,-119,L,0,10,R,
Ayaka,27,19,29,75,5,,,,,,,
Spock,28,28,14,70,6,,,,,,,
MichaelH,19,21,27,67,7,,,,,,,
PandaMan,27,10,11,48,8,,,,,,,
Sardine,3,3,41,47,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,Bt,10,Cy3,0,82,,,,,,,
Bt v. Cy3 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Hedwig,51,47,39,137,1,,,,,,,
Claus,49,37,16,102,2,,,,,,,
bawpAUS,17,24,39,80,5,,,,,,,
Sassak,24,24,30,78,6,,,,,,,
Schultz,4,3,3,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Brophy's Theory,145,135,127,0,407,325,82,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Contingency Orange,99,109,117,0,325,407,-82,L,0,10,R,
kitty,28,29,41,98,3,,,,,,,
Arvin,26,30,30,86,4,,,,,,,
Vortex,20,30,27,77,7,,,,,,,
Ket,25,19,18,62,8,,,,,,,
Striker,0,1,1,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,XII,9,Cy3,1,86,,,,,,,
XII v. Cy3 (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Istior,50,40,45,135,1,,,,,,,
Balou,28,46,21,95,3,,,,,,,
Leeroy,45,25,23,93,4,,,,,,,
byron,14,34,30,78,6,,,,,,,
Ouloul,3,2,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
The Twelve,140,147,122,0,409,323,86,W,9,1,R,
(1-0),2,2,1,4,9,,,,,,,
(0-2),0,0,1,0,1,,,,,,,
Contingency Orange,104,97,122,0,323,409,-86,L,1,9,R,
kitty,21,36,47,104,2,,,,,,,
Rastaman,25,26,32,83,5,,,,,,,
Arvin,25,20,25,70,7,,,,,,,
Ket,32,13,17,62,8,,,,,,,
Striker,1,2,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,HK,8,Au,2,2,,,,,,,
HK v. Au (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Rock Dude,30,35,45,110,2,,,,,,,
Fizzy,26,34,28,88,4,,,,,,,
Snoopy,23,25,34,82,5,,,,,,,
Blue Up,18,32,27,77,6,,,,,,,
Dino!,3,3,4,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,100,129,138,0,367,365,2,W,8,2,R,
(1-0),0,2,2,4,8,,,,,,,
(1-1),2,0,0,0,2,,,,,,,
Auspicion,144,115,106,0,365,367,-2,L,2,8,R,
FrankDaSpeed,55,37,29,121,1,,,,,,,
Torment,28,30,33,91,3,,,,,,,
Goomba,31,28,18,77,6,,,,,,,
Vinny,29,19,26,74,8,,,,,,,
BodaciousKarter,1,1,0,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,Bt,10,Le,0,102,,,,,,,
Bt v. Le (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Hedwig,30,45,31,106,1,,,,,,,
Claus,32,38,32,102,2,,,,,,,
Sassak,37,32,27,96,3,,,,,,,
Bickbork,28,24,38,90,5,,,,,,,
Schultz,4,4,5,13,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Brophy's Theory,131,143,133,0,407,305,102,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Luminescence,113,101,111,-20,305,407,-102,L,0,10,R,
SpiritX,20,34,38,92,4,,,,,,,
Deakon,32,21,28,81,6,,,,,,,
USK,29,22,25,76,7,,,,,,,
Greg,32,24,10,66,8,,,,,,,
landon,0,0,10,10,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,HK,10,e^ip,0,54,,,,,,,
HK v. e^ip (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Rock Dude,43,42,27,112,2,,,,,,,
Rhino,26,41,30,97,3,,,,,,,
Fizzy,36,24,33,93,5,,,,,,,
fordj,18,36,32,86,6,,,,,,,
Dino!,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,125,145,123,0,393,339,54,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Euler's Identity,119,99,121,0,339,393,-54,L,0,10,R,
Tectrox,33,34,46,113,1,,,,,,,
Sardine,37,28,29,94,4,,,,,,,
Spock,34,19,18,71,7,,,,,,,
PandaMan,13,16,25,54,8,,,,,,,
zs,2,2,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/18/2022,HK,7,Bt,3,24,,,,,,,
HK v. Bt (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
Fizzy,41,33,35,109,1,,,,,,,
Ghost,24,34,38,96,4,,,,,,,
Rock Dude,36,18,38,92,5,,,,,,,
Snoopy,21,25,31,77,7,,,,,,,
Dino!,0,2,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,122,112,144,0,378,354,24,W,7,3,R,
(3-0),1,0,2,4,7,,,,,,,
(2-1),1,2,0,0,3,,,,,,,
Brophy's Theory,122,132,100,0,354,378,-24,L,3,7,R,
Hedwig,26,43,35,104,2,,,,,,,
Sassak,44,33,21,98,3,,,,,,,
Claus,26,32,22,80,6,,,,,,,
Bickbork,22,22,20,64,8,,,,,,,
Schultz,4,2,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/21/2022,XII,10,Le,0,66,,,,,,,
XII v. Le (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
byron,32,39,41,112,1,,,,,,,
Istior,38,37,32,107,2,,,,,,,
Leeroy,26,28,34,88,5,,,,,,,
Ouloul(4)/Master67x(8),4,27,29,60,8,,,,,,,
AstroBoyZ,29,2,1,32,9,OP Scr,+/-,WTD,TpF,TpA,Event,
The Twelve,129,133,137,0,399,333,66,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Luminescence,115,111,107,0,333,399,-66,L,0,10,R,
USK,41,38,14,93,3,,,,,,,
Evasive,23,41,26,90,4,,,,,,,
Mike,25,16,36,77,6,,,,,,,
SpiritX,26,14,25,65,7,,,,,,,
Deakon,0,2,6,8,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/21/2022,beyond,10,HK,0,72,,,,,,,
Ceres v. HK (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Nyro,43,42,36,121,1,,,,,,,
KONGSTRONG,30,35,47,112,2,,,,,,,
Swag,34,22,29,85,4,,,,,,,
LucaMK,23,34,18,75,6,,,,,,,
Marik,2,3,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
beyond the universe,132,136,133,0,401,329,72,W,10,0,R,
(2-1),2,2,2,4,10,,,,,,,
(3-1),0,0,0,0,0,,,,,,,
Hell's Kitchen,112,106,111,0,329,401,-72,L,0,10,R,
Fizzy,41,27,34,102,3,,,,,,,
Rock Dude,20,31,34,85,4,,,,,,,
Snoopy,23,21,31,75,6,,,,,,,
fordj,26,26,11,63,8,,,,,,,
Dino!,2,1,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Le,10,Cy3,0,136,,,,,,,
Le v. Cy3 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Mike,48,54,42,144,1,,,,,,,
USK,40,42,44,126,2,,,,,,,
Evasive,35,13,31,79,4,,,,,,,
Nubbly,30,30,18,78,5,,,,,,,
landon,2,2,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,155,141,138,0,434,298,136,W,10,0,R,
(1-2),2,2,2,4,10,,,,,,,
(0-3),0,0,0,0,0,,,,,,,
Contingency Orange,89,103,106,0,298,434,-136,L,0,10,R,
kitty,21,35,44,100,3,,,,,,,
Rastaman,28,21,19,68,6,,,,,,,
sugar,21,28,15,64,7,,,,,,,
Arvin,17,17,27,61,8,,,,,,,
Striker,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Le,8,e^ip,2,27,,,,,,,
Le v. e^ip (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
SpiritX,40,41,32,113,1,,,,,,,
Mike,23,34,40,97,3,,,,,,,
Nubbly,45,22,27,94,4,,,,,,,
Evasive,13,34,28,75,7,,,,,,,
landon,0,1,2,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,121,132,129,-5,377,350,27,W,8,2,R,
(2-2),0,2,2,4,8,,,,,,,
(0-3),2,0,0,0,2,,,,,,,
Euler's Identity,123,112,115,0,350,377,-27,L,2,8,R,
MichaelH,41,38,31,110,2,,,,,,,
Tectrox,24,31,29,84,5,,,,,,,
Spock,29,20,28,77,6,,,,,,,
Sardine,25,20,25,70,8,,,,,,,
PandaMan,4,3,2,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Cy3,9,beyond,1,66,,,,,,,
Cy3 v. Ceres (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Kit,52,42,38,132,,,,,,,,
Sugar,31,32,27,90,,,,,,,,
Rastaman,35,23,28,86,,,,,,,,
Arvin,27,28,17,72,,,,,,,,
Striker,3,4,2,9,,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency Orange,148,129,112,0,389,323,66,W,9,1,R,
(1-3),2,2,1,4,9,,,,,,,
(2-2),0,0,1,0,1,,,,,,,
beyond the universe,96,115,132,-20,323,389,-66,L,1,9,R,
Watcha,27,26,46,99,,,,,,,,
Luca,30,34,23,87,,,,,,,,
Nyro,22,25,33,80,,,,,,,,
Swag,16,30,28,74,,,,,,,,
Marik,1,0,2,3,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,e^ip,10,Cy3,0,94,,,,,,,
e^ip v. Cy3 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Tectrox,35,36,48,119,1,,,,,,,
Sardine,45,41,26,112,2,,,,,,,
Dawn,36,37,24,97,4,,,,,,,
MichaelH,29,15,26,70,8,,,,,,,
NateRNH,4,4,2,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Euler's Identity,149,133,126,0,408,314,94,W,10,0,R,
(1-3),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Contingency Orange,95,111,108,0,314,408,-94,L,0,10,R,
LeonNL,38,34,29,101,3,,,,,,,
Ket,24,26,26,76,5,,,,,,,
Arvin,15,28,30,73,6,,,,,,,
sugar,18,23,21,62,7,,,,,,,
Striker,0,0,2,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/27/2022,Bt,10,e^ip,0,111,,,,,,,
Bt v. e^ip (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Claus,22,47,40,109,1,,,,,,,
Hedwig,33,27,48,108,2,,,,,,,
Sassak,32,28,38,98,3,,,,,,,
bawpAUS,44,18,35,97,4,,,,,,,
Schultz,2,0,0,2,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brophy's Theory,133,120,161,-5,409,298,111,W,10,0,R,
(3-1),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Euler's Identity,111,104,83,0,298,409,-111,L,0,10,R,
Sardine,29,34,12,75,5,,,,,,,
Ayaka,22,24,24,70,6,,,,,,,
MichaelH,32,21,15,68,7,,,,,,,
NateRNH,26,10,12,48,8,,,,,,,
Spock,2,15,20,37,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,Le,10,HK,0,134,,,,,,,
Le v. HK (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Deakon,38,38,44,120,1,,,,,,,
Nubbly,39,36,33,108,2,,,,,,,
Mike,30,35,38,103,3,,,,,,,
USK,20,49,28,97,4,,,,,,,
landon,0,2,3,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,127,160,146,0,433,299,134,W,10,0,R,
(3-2),2,2,2,4,10,,,,,,,
(3-2),0,0,0,0,0,,,,,,,
Hell's Kitchen,117,84,98,0,299,433,-134,L,0,10,R,
Fizzy,36,25,24,85,5,,,,,,,
Rock Dude,34,22,28,84,6,,,,,,,
Rhino,31,25,19,75,7,,,,,,,
fordj(8)/Snoopy(4),12,10,26,48,8,,,,,,,
Dino!,4,2,1,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,Le,9,beyond,1,28,,,,,,,
Le v. Ceres (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Mike,34,42,35,111,1,,,,,,,
Deakon,37,29,29,95,4,,,,,,,
Nubbly,23,30,39,92,5,,,,,,,
USK,37,25,16,78,6,,,,,,,
landon,1,0,3,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,132,126,122,0,380,352,28,W,9,1,R,
(4-2),2,2,1,4,9,,,,,,,
(2-3),0,0,1,0,1,,,,,,,
beyond the universe,112,118,122,0,352,380,-28,L,1,9,R,
Watcha,26,42,38,106,2,,,,,,,
KONGSTRONG,35,30,35,100,3,,,,,,,
Chrismo,33,9,28,70,7,,,,,,,
Nyro,15,33,20,68,8,,,,,,,
Marik,3,4,1,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,HK,6,XII,4,34,,,,,,,
HK v. XII (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Fizzy,39,44,33,116,1,,,,,,,
Snoopy,42,24,40,106,4,,,,,,,
Rock Dude,12,28,38,78,5,,,,,,,
Blue Up,20,23,33,76,6,,,,,,,
Dino!,2,2,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,115,121,147,0,383,349,34,W,6,4,R,
(4-2),0,0,2,4,6,,,,,,,
(2-1),2,2,0,0,4,,,,,,,
The Twelve,129,123,97,0,349,383,-34,L,4,6,R,
byron,40,48,24,112,2,,,,,,,
Istior,49,30,28,107,3,,,,,,,
ManuelUS,18,27,24,69,7,,,,,,,
Leeroy,20,16,20,56,8,,,,,,,
AstroboyZ,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,e^ip,8,XII,2,30,,,,,,,
e^ip v. XII (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Tectrox,47,32,38,117,2,,,,,,,
MichaelH,21,43,30,94,3,,,,,,,
Sardine,28,27,26,81,5,,,,,,,
Spock,21,30,21,72,7,,,,,,,
NateRNH(4)/smu(8),3,1,3,7,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Euler's Identity,120,133,118,0,371,341,30,W,8,2,R,
(2-4),0,2,2,4,8,,,,,,,
(2-2),2,0,0,0,2,,,,,,,
The Twelve,124,111,126,-20,341,371,-30,L,2,8,R,
ManuelUS,38,40,46,124,1,,,,,,,
Istior,50,14,26,90,4,,,,,,,
byron,13,34,33,80,6,,,,,,,
Leeroy,22,20,15,57,8,,,,,,,
AstroboyZ,1,3,6,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/31/2022,Au,6,Bt,4,7,,,,,,,
Au v. Bt (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Torment,45,33,20,98,2,,,,,,,
Vinny,34,21,35,90,3,,,,,,,
Vantoxify,32,35,19,86,5,,,,,,,
GabrielUS,21,23,41,85,6,,,,,,,
BodaciousKarter,3,2,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
