T_ID,Division,Registry Name,Mii Tag,Analytics Name,Analytics Tag,Hex Code,Color
1,1,Ethereal,£★,Ethereal,E,#206e59,
2,1,Infinite Fusion,IF,Infinite Fusion,IF,#371f76,
3,1,Kinetolic Gaming,KG,Kinetolic Gaming,KG,#720d84,
4,1,Lazarus,XI,Lazarus,XI,#8000df,
5,1,Lightspeed KittyCats,[L]1,Lightspeed Kittycats,[L]1,#e7a4f6,
6,1,Superbia,Se,Superbia,Se,#1de8d6,
7,2,Andrew Tate Raided By The Matrix,Ma*,Matrix,Ma*,#c7f5b6,
8,2,Ascension,Ac,Ascension,Ac,#10cbed,
9,2,Avail,Λν,Avail,Av,#0030ff,
10,2,Curse,HEX:,Curse,HEX,#3498db,
11,2,Explorers of Time,EXO,Explorers of Time,EXO,#dc4e42,
12,2,Mount Olympus,Mt.,Mount Olympus,Mt,#000000,
13,2,Pure,Purξ,Pure,PurE,#752eac,
14,2,sam legends,sl,Sam Legends,sl,#d8f2ff,
15,3,Brutality,ßÿ,Brutality,By,#ffffff,
16,3,Lethal Vengeance,LV,Lethal Vengeance,LV,#831d1c,
17,3,Lightspeed Noah,[L]2,Lightspeed Noah,[L]2,#6a00ff,
18,3,Melody,«♪»,Melody,Melody,#10ff00,
19,3,MY13,MY13,MY13,MY13,#d740ff,
20,3,Team GUN,GUN,Team GUN,GUN,#051aff,
21,4,Berserk,Be`★,Berserk,Berserk,#ff0202,
22,4,Contingency White,Cγ1,Contingency White,Cy1,#af69ef,
23,4,Ez,Σz,Ez,Ez,#87Ceeb,
24,4,George Arvo Mark Toad,GAMT,George Arvo Mark Toad,GAMT,#f42069,
25,4,Hell's Kitchen,HK1,Hell's Kitchen,HK1,#3ded97,
26,4,Nero Nemesis,@NN1,Nero Nemesis,NN,#070000,
27,4,Ressurection,RS,Ressurection,RS,#03d4e8,
28,4,Maximum,Mι,Maximum,Mi,#b40000,
29,5,Beyond the Universe,beγønd,Beyond the Universe,beyond,#6300ff,
30,5,Bitch Squad,βτ,Bitch Squad,Bt,#3498db,
31,5,Luminescense,Lε,Luminescense,Le,#e42217,
32,5,Mate Clan,Mate,Mate,Mate,#000000,
33,5,The Nice Guys,TNG,The Nice Guys,TNG,#ae00ff,
34,5,Ol’ Self-Sustaining Mexican Cat Ranch,Ω,Mexican Cat Ranch,O,#a3a3a3,
35,5,Van!shment Th!s World,VM,Vanishment,VM,#c71585,
36,5,Yakuza,Yz,Yakuza,Yz,#680e0e,
37,6,Auspicion,λυ,Auspicion,Au,#0081d7,
38,6,Heaven's Kitchen,HK2,Heaven's Kitchen,HK2,#ffffff,
39,6,monolith,mono,Monolith,mono,#cbd9ba,
40,6,Nero Nyx,@NN2,Nero Nyx,NN2,#fd100a,
41,6,RISE,RISE,RISE,RISE,#000000,
42,6,Shiny,Shiny,Shiny,Shiny,#54e3ff,
43,6,The Twelve,XII,The Twelve,XII,#6495ED,
44,6,Turkey (gobble gobble),XXX,Turkey,XXX,#ffd700,
45,7,Bot Team,BOT,Bot Team,BOT,#ffa436,
46,7,Contingency Black,Cγ2,Contingency Black,Cy2,#af69ef,
47,7,Gay Sunset 9,Rc9,Gay Sunset 9,Rc9,#ffd700,
48,7,Joaquín Y Pablomr,JP,Jaoquin y Pablomr,JP,#f900ff,
49,7,The International,XIV,The International,XIV,#0B0B60,
50,7,Versatile,V$,Versatile,V$,#7142d6,
51,8,Banished Keep,ban k,Banished Keep,ban k,#634b07,
52,8,gardie lumb wacker,glw,gardie lumb wacker,glw,#bec0ff,
53,8,I found people off of the streets of Wiimmfi ,???,Streets of Wimmfi,???,#000001,
54,8,Poseidon's Trident,PΨ ,Poseidon's Trident,PW,#123456,
55,8,Sokrati,Sk,Sokrati,Sk,#BCB502,