Teams,Abv,Pts,40,40,,,Matches,,,,,
Superbia,Se,71,7,3,,,40,,Az,810,,
airy,airy,66,8,2,,,,,yoshikz,719,,
Jx.,Jx,65,7,3,,,Completed,,Hizumi,672,,
HEAVEN,H,60,6,4,,,40,,Hiduke,476,,
Daisy Squad,D,39,3,7,,,,,Prin,310,,
Avail,Av,36,3,7,,,,,Roast,43,,
Apocalypse Emerald,Ap,32,3,7,,,,,,,,
Lightspeed Kitty Cats,[L],31,3,7,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/5/21,H,8,D,2,6,,,,,,,
H vs. D (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Az,33,42,43,118,1,,,,,,,
yoshikz,24,36,37,97,4,,,,,,,
Hizumi,25,26,26,77,5,,,,,,,
Hiduke,23,30,16,69,7,,,,,,,
Prin,4,2,2,8,9,,,,,,,
HEAVEN,109,136,124,0,369,,,,,,,
(1-0),0,2,2,4,8,,,,,,,
(0-1),2,0,0,0,2,,,,,,,
Daisy Squad,135,108,120,0,363,,,,,,,
EmilP,39,31,43,113,2,,,,,,,
rusoX,35,35,32,102,3,,,,,,,
Thomas,34,22,21,77,5,,,,,,,
LukeGB,27,18,22,67,8,,,,,,,
Shaka,0,2,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/5/21,Jx,7,D,3,4,,,,,,,
Jx vs. D (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
michael gee,30,23,47,100,2,,,,,,,
mura,35,28,26,89,4,,,,,,,
frozen,31,35,20,86,5,,,,,,,
Jeff,24,32,29,85,6,,,,,,,
jaker,2,2,4,8,9,,,,,,,
Jx.,122,120,126,0,368,,,,,,,
(1-0),1,0,2,4,7,,,,,,,
(0-2),1,2,0,0,3,,,,,,,
Daisy Squad,122,124,118,0,364,,,,,,,
Kazam,36,32,34,102,2,,,,,,,
EmilP,27,41,26,94,3,,,,,,,
Sammeh,37,23,25,85,5,,,,,,,
Kiwi,20,26,33,79,8,,,,,,,
Shaka,2,2,0,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/4/21,Jx,10,[L],0,71,,,,,,,
Jx vs. [L] (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
frozen,32,48,31,111,1,,,,,,,
michael gee,33,33,44,110,2,,,,,,,
Jeff,35,21,33,89,4,,,,,,,
mura,28,39,20,87,5,,,,,,,
jaker,2,2,3,7,9,,,,,,,
Jx.,130,143,131,-5,399,,,,,,,
(2-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Lightspeed Kitty Cats,114,101,113,0,328,,,,,,,
taka,33,21,42,96,3,,,,,,,
Quandale Dingle,16,43,21,80,6,,,,,,,
brody,26,22,29,77,7,,,,,,,
Zestos,37,13,20,70,8,,,,,,,
Evan,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/4/21,airy,8,Av,2,58,,,,,,,
airy vs. Av (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Quinn,37,32,37,106,1,,,,,,,
Xander,33,21,48,102,2,,,,,,,
Kaseprinos,25,47,27,99,3,,,,,,,
ruby,36,20,28,84,6,,,,,,,
Jazz,1,0,3,4,10,,,,,,,
airy,132,120,143,0,395,,,,,,,
(1-0),2,0,2,4,8,,,,,,,
(0-1),0,2,0,0,2,,,,,,,
Avail,112,124,101,0,337,,,,,,,
nikos,35,30,26,91,4,,,,,,,
Kevin,21,36,28,85,5,,,,,,,
Ballin,30,28,26,84,6,,,,,,,
Olifre,23,26,20,69,8,,,,,,,
Joris,3,4,1,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/4/21,airy,8,Se,2,74,,,,,,,
airy vs Se (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Xander,42,40,48,130,1,,,,,,,
Feysal,48,45,27,120,2,,,,,,,
jack,26,16,34,76,5,,,,,,,
Kasperinos,44,11,14,69,7,,,,,,,
Jazz,3,3,2,8,9,,,,,,,
airy,163,115,125,0,403,,,,,,,
(2-0),2,0,2,4,8,,,,,,,
(0-1),0,2,0,0,2,,,,,,,
Superbia,81,129,119,0,329,,,,,,,
Revan,33,35,36,104,3,,,,,,,
Ethos,18,29,38,85,4,,,,,,,
Shawn,16,30,25,71,6,,,,,,,
tayston,13,34,18,65,8,,,,,,,
Larry David,1,1,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/4/21,Ap,8,Av,2,13,,,,,,,
Ap vs Av (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Thunder,34,44,39,117,1,,,,,,,
swig,43,33,25,101,3,,,,,,,
chillz,32,19,25,76,6,,,,,,,
Thunda,17,31,19,67,8,,,,,,,
Kaizo,4,3,2,9,9,,,,,,,
Apocalypse Emerald,130,130,110,0,370,,,,,,,
(1-0),2,2,0,4,8,,,,,,,
(0-2),0,0,2,0,2,,,,,,,
Avail,114,114,134,-5,357,,,,,,,
Kevin,29,42,34,105,2,,,,,,,
Ballin,28,22,44,94,4,,,,,,,
nikos,29,28,33,90,5,,,,,,,
Olifre,28,21,21,70,7,,,,,,,
Joris,0,1,2,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/4/21,Se,10,Ap,0,75,,,,,,,
Se vs. Ap (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Shawn,45,47,43,135,1,,,,,,,
Vincent B,31,24,49,104,2,,,,,,,
Revan,34,33,23,90,3,,,,,,,
KasperUS,22,19,25,66,8,,,,,,,
Larry David (11) / Serena (1),3,1,3,7,10,,,,,,,
Superbia,135,124,143,0,402,,,,,,,
(1-1),2,2,2,4,10,,,,,,,
(1-1),0,0,0,0,0,,,,,,,
Apocalypse Emerald,109,120,103,-5,327,,,,,,,
Thunder,33,30,24,87,4,,,,,,,
Batcake,31,30,21,82,5,,,,,,,
swig,23,25,31,79,6,,,,,,,
chillz,21,32,18,71,7,,,,,,,
Donald Trump,1,3,9,13,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/5/21,H,10,[L],0,110,,,,,,,
H vs. [L] (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Az,34,60,46,140,1,,,,,,,
yoshikz,33,36,47,116,2,,,,,,,
hiduke,39,20,21,80,4,,,,,,,
Hizumi,18,36,24,78,5,,,,,,,
Roast,4,3,0,7,9,,,,,,,
HEAVEN,128,155,138,0,421,,,,,,,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Lightspeed Kitty Cats,116,89,106,0,311,,,,,,,
Matt,32,30,29,91,3,,,,,,,
taka,28,16,32,76,6,,,,,,,
brody,32,18,21,71,7,,,,,,,
maisie,24,24,20,68,8,,,,,,,
Evan,0,1,4,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/11/21,Jx,8,H,2,72,,,,,,,
Jx vs. H (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Jeff,40,28,35,103,1,,,,,,,
mura,29,40,32,101,2,,,,,,,
mike,24,25,48,97,3,,,,,,,
frozen,22,41,32,95,4,,,,,,,
Sam,0,0,6,6,10,,,,,,,
Jx.,115,134,153,0,402,,,,,,,
(3-0),0,2,2,4,8,,,,,,,
(2-1),2,0,0,0,2,,,,,,,
HEAVEN,129,110,91,0,330,,,,,,,
Az,25,39,27,91,5,,,,,,,
yoshikz,45,26,11,82,6,,,,,,,
Hizumi,28,29,22,79,7,,,,,,,
Prin,27,12,29,68,8,,,,,,,
Roast,4,4,2,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/11/21,Jx,8,Se,2,62,,,,,,,
Jx vs Se (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
frozen,35,40,27,102,1,,,,,,,
mura,14,47,40,101,2,,,,,,,
Jeff,27,24,49,100,3,,,,,,,
mike,43,15,33,91,5,,,,,,,
Sam,1,1,1,3,10,,,,,,,
Jx.,120,127,150,0,397,,,,,,,
(4-0),0,2,2,4,8,,,,,,,
(1-2),2,0,0,0,2,,,,,,,
Superbia,124,117,94,0,335,,,,,,,
Shawn,37,35,25,97,4,,,,,,,
Revise,20,30,24,74,6,,,,,,,
Edison,19,23,28,70,7,,,,,,,
Ornan,45,2,14,61,8,,,,,,,
Maq (10) / Orange (2),3,27,3,33,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/11/21,Av,6,[L],4,46,,,,,,,
Av vs [L] (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Ballin,17,55,34,106,2,,,,,,,
Olifre,30,47,20,97,3,,,,,,,
Lucid,37,25,30,92,4,,,,,,,
Schubi AKpella,25,32,31,88,5,,,,,,,
Joris,1,3,2,6,9,,,,,,,
Avail,110,162,117,0,389,,,,,,,
(1-2),0,2,0,4,6,,,,,,,
(0-3),2,0,2,0,4,,,,,,,
Lightspeed Kitty Cats,134,82,127,0,343,,,,,,,
maisie,43,32,42,117,1,,,,,,,
Quandale Dingle,23,15,45,83,6,,,,,,,
taka,31,16,26,73,7,,,,,,,
brody,34,18,12,64,8,,,,,,,
Evan,3,1,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,a
12/11/21,D,8,[L],2,24,,,,,,,
D vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
EmilP,21,49,29,99,1,,,,,,,
Sammeh,30,33,34,97,3,,,,,,,
Kazam,36,24,35,95,4,,,,,,,
Kiwi,19,29,32,80,7,,,,,,,
Shaka,0,1,1,2,10,,,,,,,
Daisy Squad,106,136,131,0,373,,,,,,,
(1-2),0,2,2,4,8,,,,,,,
(0-4),2,0,0,0,2,,,,,,,
Lightspeed Kitty Cats,138,108,103,0,349,,,,,,,
maisie,38,30,21,89,1,,,,,,,
brody,34,22,32,88,5,,,,,,,
Quandale Dingle,34,36,16,86,6,,,,,,,
taka,28,17,31,76,8,,,,,,,
Evan,4,3,3,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/11/21,Ap,8,airy,2,24,,,,,,,
Ap vs airy (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Thunder,40,33,36,109,1,,,,,,,
Camelot,44,26,31,101,3,,,,,,,
Batcake,28,25,30,83,5,,,,,,,
swig,29,16,32,77,6,,,,,,,
Kaizo,3,2,3,8,10,,,,,,,
Apocalypse Emerald,144,102,132,0,378,,,,,,,
(2-1),2,0,2,4,8,,,,,,,
(2-1),0,2,0,0,2,,,,,,,
airy,100,142,112,0,354,,,,,,,
Xander,30,46,32,108,2,,,,,,,
jack,35,31,20,86,4,,,,,,,
ruby,20,14,40,74,7,,,,,,,
Quinn (4) / Feysal (8),14,49,19,82,8,,,,,,,
Jazz,1,2,1,4,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/11/21,Se,8,Av,2,20,,,,,,,
Se vs Av (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Larry David,24,45,42,111,2,,,,,,,
Vincent B,32,44,16,92,3,,,,,,,
Shawn,43,21,19,83,6,,,,,,,
Edison,30,30,18,78,7,,,,,,,
Orange,2,4,1,7,9,,,,,,,
Superbia,131,144,96,0,371,,,,,,,
(2-0),2,2,0,4,8,,,,,,,
(1-3),0,0,2,0,2,,,,,,,
Avail,113,100,148,-10,351,,,,,,,
Kevin,36,31,46,113,1,,,,,,,
Ballin,31,30,29,90,4,,,,,,,
Olifre,34,28,24,86,5,,,,,,,
Lucid,10,11,46,67,8,,,,,,,
Joris,2,0,3,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,[L],8,Ap,2,66,,,,,,,
[L] vs Ap (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Zestos,32,33,43,108,1,,,,,,,
taka,23,39,37,99,2,,,,,,,
brody,22,41,33,96,4,,,,,,,
maisie,34,19,26,79,6,,,,,,,
Evan,3,2,2,7,9,,,,,,,
Lightspeed Kitty Cats,114,134,141,0,389,,,,,,,
(1-4),0,2,2,4,8,,,,,,,
(2-2),2,0,0,0,2,,,,,,,
Apocalypse Emerald,130,110,103,-20,323,,,,,,,
Camelot,48,26,24,98,3,,,,,,,
Batcake,34,38,22,94,5,,,,,,,
Thunder,25,28,25,78,7,,,,,,,
swig,22,16,28,66,8,,,,,,,
Donald Trump,1,2,4,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,D,8,Av,2,22,,,,,,,
D vs Av (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
EmilP,32,30,45,107,1,,,,,,,
Sammeth,27,45,29,101,2,,,,,,,
rusoX,27,21,47,95,5,,,,,,,
RyanUK,18,25,29,72,7,,,,,,,
Shaka,1,4,2,7,9,,,,,,,
Daisy Squad,105,125,152,-10,372,,,,,,,
(2-2),0,2,2,4,8,,,,,,,
(1-4),2,0,0,0,2,,,,,,,
Avail,139,119,92,,350,,,,,,,
Kevin,28,41,28,97,3,,,,,,,
Olifre,41,33,22,96,4,,,,,,,
Paul,32,31,16,79,6,,,,,,,
Lucid,35,14,22,71,8,,,,,,,
Joris,3,0,4,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,airy,8,[L],2,38,,,,,,,
airy vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Quinn,49,31,35,115,1,,,,,,,
Xander,34,48,26,108,2,,,,,,,
luke the toolbox,22,22,34,78,6,,,,,,,
Feysal,28,29,20,77,7,,,,,,,
Jazz,3,3,1,7,9,,,,,,,
airy,136,133,116,0,385,,,,,,,
(3-1),2,2,0,4,8,,,,,,,
(1-5),0,0,2,0,2,,,,,,,
Lightspeed Kitty Cats,108,111,128,0,347,,,,,,,
maisie,20,34,43,97,3,,,,,,,
Declan,34,38,17,89,4,,,,,,,
taka,37,12,30,79,5,,,,,,,
Zestos,16,26,35,77,7,,,,,,,
Evan,1,1,3,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,Se,10,D,0,112,,,,,,,
Se vs D (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shawn,43,50,32,125,1,,,,,,,
KasperUS,38,25,41,104,2,,,,,,,
Vincent B,22,36,33,91,3,,,,,,,
Revan,28,30,15,73,7,,,,,,,
Maq,2,1,21,24,9,,,,,,,
Superbia,133,142,142,0,417,,,,,,,
(3-2),2,2,2,4,10,,,,,,,
(2-3),0,0,0,0,0,,,,,,,
Daisy Squad,111,102,102,-10,305,,,,,,,
EmilP,40,32,12,84,4,,,,,,,
Sammeh,27,20,32,79,5,,,,,,,
Kiwi,14,33,29,76,6,,,,,,,
Luke GB (8) / British (4),28,14,24,66,8,,,,,,,
Merc,2,3,5,10,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/19/21,H,8,Se,2,36,,,,,,,
H vs Se (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Hizumi,31,31,35,97,3,,,,,,,
yoshikz,30,37,30,97,3,,,,,,,
Prin,28,17,52,97,3,,,,,,,
Hiduke,33,25,30,88,6,,,,,,,
Roast,2,1,2,5,10,,,,,,,
HEAVEN,124,111,149,0,384,,,,,,,
(3-1),2,0,2,4,8,,,,,,,
(3-3),0,2,0,0,2,,,,,,,
Superbia,120,133,95,0,348,,,,,,,
Revise,33,43,24,100,1,,,,,,,
Shawn,37,38,23,98,2,,,,,,,
Maq,25,19,28,72,7,,,,,,,
Vincent B,23,30,18,71,8,,,,,,,
Serena,2,3,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/19/21,airy,8,H,2,31,,,,,,,
airy vs H (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
jack,33,52,29,114,1,,,,,,,
