NAMES,DEREK,BURKE,FEAR,HNERY,DEVIL,ARDUX,ALEX,IVAN,MARCO,ZACH
D1,£★ crash,£★ Jeff,XI Xander,XI Fox,£★ mura,XI barney,IF Berry,KG EmilP,£★ Kevin,Se Shawn
D2,Purξ ayanami,Ma* chi,Mt. Lucid,Ma* py,Ac Kasper,sl Thunder,Ma* cl,Ac Thunda,HEX: Zoan,sl brody
D3,[L]2 Jed,ßÿ Declan,LV Ivan,GUN Shura,[L]2 KA,GUN Nico,«♪» Sal,LV Derek,«♪» Charge,ßÿ Fire
D4,RS stripe,Mι Alberto,RS Klover,Cy1 Lexin,HK1 xWill,RS Caleb,Σz Hintz,Berserk sukay,@NN1 Mio,Mι JackCAN
D5,βτ Alex,TNG Luk3,Ω Weexy,TNG chaos,Ω Boshi,Yz Dryade,βτ Hedwig,beγønd akiza,TNG Dino,Ω Ice
D6,λυ Fernandez,λυ Goomba,RISE Nxvy,mono Falco,λυ FrankDaSpeed,XII Airko,Shiny Asuna,mono Snowy,λυ MatthewAUS,RISE AceBeaton
D7,XIV Korra,XIV GabrielUS,Cγ2 Jesse,Cγ2 JUDGE,BOT Galla,Rc9 ZeldaCubed,JP Jesús,XIV Spock,JP Francis,V$ Spart
D8,glw EvanTX,sk NathanUS,ban k sparkster,ban k ton,ban k Nicki,ban k kali,glw Jonny,??? Lemmy,ban k winter,??? mythdragon
Team,@NN1,Se,Ω,Ma*,XI,Yz,sl,LV,JP,£★
Flex,Mt. Fred,ßÿ Gray,glw squirrel,[L]1 Zestos,RS Goofy,XXX Insane,MY13 Cormac,LV zach,Cγ1 Dan,mono landon