D5_1D,,,,,,,,,,,,,,,,,
Yz,Penalty -15,400,,,,,,,,,,,,,,,
βτ,Penalty -20,297,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,N64 Bowser's Castle,Wii Moonview Highway,Wii Koopa Cape,DS Peach Gardens,Wii Grumble Volcano,Wii Wario's Gold Mine,Wii Dry Dry Ruins,GBA Bowser Castle 3,N64 Sherbet Land,Wii Toad's Factory,GCN Mario Circuit,Wii Moo Moo Meadows 
Dryade,0392-5601-9832,Dryade,Yz,129,FALSE,1,1,2,1,2,1,5,2,7,2,8,3
Leo,4043-2731-4907,mii_name,Yz,109,FALSE,6,6,1,2,3,7,2,4,4,7,1,1
Vicious,3957-3713-3566,mii_name,Yz,96,FALSE,2,5,5,3,7,8,8,3,1,1,7,2
Cyber,0949-5897-1073,mii_name,Yz,71,FALSE,8,8,3,8,6,2,3,7,6,5,2,6
SunnyJimX,2754-7983-0413,S,Yz,10,FALSE,9,9,9,9,9,9,10,9,9,9,9,10
Hedwig,1380-4069-1504,mii_name,βτ,95,FALSE,4,4,7,6,4,5,7,1,2,3,3,4
Sassak,2797-7368-5957,mii_name,βτ,86,FALSE,3,7,4,7,1,6,1,8,3,6,5,5
alx,2325-2967-3566,mii_name,βτ,78,FALSE,7,3,6,4,5,3,4,5,5,4,4,9
Claus,5374-7240-2317,LaBerto,βτ,54,FALSE,5,2,8,5,8,4,6,6,8,8,6,8
Schultz,2668-8838-4097,mii_name,βτ,4,FALSE,10,10,10,10,10,10,9,10,10,10,10,7
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
Team 1/2,Use team name on table bot (technically the tag),,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,